epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.05133,1.24998,4.38038,1.62946,0.25192,0.38232,0.25024,0.17884,1.00479,3.88854,1.77091,7e-05,7e-05,7e-05
2,9.42597,1.08559,2.97175,1.50238,0.85115,0.3584,0.5512,0.4148,0.96782,3.20765,1.61159,0.000147525,0.000147525,0.000147525
3,13.6541,1.0255,2.20591,1.40776,0.44997,0.77,0.67799,0.50846,1.08858,3.09361,1.75342,0.00022241,0.00022241,0.00022241
4,16.9957,0.99592,1.88932,1.39204,0.4757,0.77401,0.72149,0.53089,1.11448,8.71391,1.80713,0.000294655,0.000294655,0.000294655
5,20.1457,0.94384,1.6898,1.34249,0.59331,0.41179,0.53201,0.33613,1.48765,2.40641,2.44513,0.00036426,0.00036426,0.00036426
6,23.4217,1.02376,1.66768,1.39061,0.66353,0.46,0.48308,0.35375,1.16028,2.64481,1.94066,0.000431225,0.000431225,0.000431225
7,27.1799,1.02491,1.52515,1.4097,0.61351,0.58,0.53664,0.33669,1.43899,2.28055,2.22783,0.00049555,0.00049555,0.00049555
8,30.2607,1.06501,1.43418,1.4133,0.39136,0.83,0.70764,0.48127,1.35165,1.81453,2.5161,0.000557235,0.000557235,0.000557235
9,33.3295,0.97721,1.48052,1.38499,0.41807,0.26,0.2654,0.11713,1.86932,2.82263,2.92596,0.00061628,0.00061628,0.00061628
10,36.372,0.94979,1.32136,1.34226,0.39976,0.405,0.32982,0.1765,1.84368,2.74452,2.57273,0.000672685,0.000672685,0.000672685
11,40.1939,1.03543,1.42498,1.38969,0.81622,0.45419,0.5645,0.34192,1.68081,2.32744,3.44356,0.00072645,0.00072645,0.00072645
12,43.1952,0.90896,1.22661,1.29983,0.84371,0.3,0.42234,0.24768,1.5676,2.70785,3.06876,0.000777575,0.000777575,0.000777575
13,46.1898,0.9769,1.21802,1.34933,0.6588,0.51343,0.59673,0.36465,1.39945,1.63909,2.39741,0.000802,0.000802,0.000802
14,49.2253,1.00149,1.17253,1.3422,0.47909,0.675,0.56495,0.30686,1.50115,1.94359,2.51122,0.0007855,0.0007855,0.0007855
15,53.1426,0.89333,1.09445,1.30171,0.44929,0.62274,0.47828,0.18736,1.47011,3.72997,2.4097,0.000769,0.000769,0.000769
16,56.1977,1.02159,1.1333,1.37939,0.2599,0.3659,0.26616,0.102,1.94205,4.65012,2.70685,0.0007525,0.0007525,0.0007525
17,59.2649,0.89567,1.16802,1.31631,0.18372,0.35717,0.23075,0.12579,1.98096,3.72458,2.98045,0.000736,0.000736,0.000736
18,62.2241,0.91484,1.03846,1.32276,0.43748,0.55635,0.39415,0.21742,1.46402,2.5088,2.44463,0.0007195,0.0007195,0.0007195
19,66.1305,0.93703,1.07479,1.3316,0.57477,0.805,0.7812,0.55578,1.04993,1.41363,1.70531,0.000703,0.000703,0.000703
20,69.164,0.84932,0.89734,1.26073,0.58669,0.77608,0.67621,0.48476,1.02301,2.05638,1.75289,0.0006865,0.0006865,0.0006865
21,72.1941,0.87018,0.90985,1.26917,0.7677,0.63235,0.73256,0.50286,1.19495,1.79693,1.89321,0.00067,0.00067,0.00067
22,75.4165,0.87937,0.94824,1.27529,0.72138,0.75328,0.81663,0.57359,1.15025,1.2754,1.78176,0.0006535,0.0006535,0.0006535
23,79.1393,0.85997,0.92303,1.25118,0.51459,0.8,0.72784,0.4945,1.04518,1.59275,1.66868,0.000637,0.000637,0.000637
24,82.1647,0.85713,0.89688,1.28241,0.62068,0.61818,0.71159,0.49681,1.14612,2.5977,1.68138,0.0006205,0.0006205,0.0006205
25,85.1866,0.85645,0.92808,1.27837,0.83778,0.8823,0.89995,0.68376,0.90471,1.23968,1.46132,0.000604,0.000604,0.000604
26,88.5238,0.91172,0.91157,1.26447,0.64276,0.58188,0.59347,0.39855,1.25376,1.79658,1.90548,0.0005875,0.0005875,0.0005875
27,92.3319,0.82449,0.86058,1.23817,0.32986,0.515,0.40657,0.25486,1.47506,2.23606,2.13783,0.000571,0.000571,0.000571
28,95.4622,0.82508,0.82996,1.2524,0.5779,0.495,0.54527,0.37171,1.15677,1.92044,1.78098,0.0005545,0.0005545,0.0005545
29,98.4918,0.82186,0.88123,1.24765,0.96058,0.69125,0.87003,0.68442,0.87459,0.89371,1.42828,0.000538,0.000538,0.000538
30,101.87,0.84436,0.79857,1.25666,0.72042,0.81,0.90871,0.71982,0.89734,0.83733,1.48671,0.0005215,0.0005215,0.0005215
31,105.746,0.80018,0.7287,1.24379,0.76081,0.8609,0.90006,0.69722,0.84982,0.70421,1.53554,0.000505,0.000505,0.000505
32,108.854,0.75012,0.72818,1.21297,0.73024,0.74196,0.84283,0.67636,0.94835,1.13207,1.59113,0.0004885,0.0004885,0.0004885
33,111.956,0.8108,0.69847,1.23725,0.75223,0.68,0.72414,0.6065,0.91692,1.22779,1.56289,0.000472,0.000472,0.000472
34,115.441,0.79311,0.77223,1.22319,0.782,0.9009,0.94103,0.76919,0.79713,0.69936,1.38105,0.0004555,0.0004555,0.0004555
35,119.227,0.77122,0.7357,1.20659,0.84768,0.89237,0.94877,0.7711,0.76799,0.66401,1.35046,0.000439,0.000439,0.000439
36,122.377,0.71203,0.67605,1.15826,0.71964,0.9,0.945,0.78268,0.69666,0.54909,1.27949,0.0004225,0.0004225,0.0004225
37,125.529,0.74517,0.73402,1.19987,0.76513,0.9,0.93595,0.79551,0.6986,0.5839,1.26057,0.000406,0.000406,0.000406
38,129.364,0.72835,0.66643,1.14589,0.87224,0.93929,0.97,0.79534,0.71105,0.48824,1.25366,0.0003895,0.0003895,0.0003895
39,132.732,0.70049,0.61677,1.16057,0.91642,0.89747,0.96107,0.78062,0.77553,0.53675,1.30423,0.000373,0.000373,0.000373
40,135.746,0.69006,0.62843,1.18505,0.91863,0.89655,0.95,0.78211,0.72431,0.50962,1.23463,0.0003565,0.0003565,0.0003565
41,138.731,0.67616,0.64642,1.1289,0.88393,0.9221,0.995,0.85301,0.66108,0.48179,1.20784,0.00034,0.00034,0.00034
42,142.526,0.6861,0.62293,1.12723,0.91963,1,0.995,0.86582,0.61228,0.45034,1.17142,0.0003235,0.0003235,0.0003235
43,145.858,0.64055,0.61281,1.14977,0.93238,1,0.995,0.8577,0.62959,0.44105,1.165,0.000307,0.000307,0.000307
44,148.86,0.68335,0.62766,1.13522,0.9156,1,0.995,0.83863,0.61571,0.40664,1.16182,0.0002905,0.0002905,0.0002905
45,151.88,0.68495,0.56301,1.12612,0.91695,0.99553,0.98678,0.83511,0.65558,0.44144,1.19431,0.000274,0.000274,0.000274
46,155.632,0.65598,0.56863,1.11947,0.94473,0.93353,0.98233,0.81664,0.59532,0.5003,1.15,0.0002575,0.0002575,0.0002575
47,158.889,0.66865,0.58104,1.15088,0.97032,0.91954,0.985,0.83406,0.60973,0.51387,1.15118,0.000241,0.000241,0.000241
48,161.892,0.68492,0.59576,1.13509,0.95104,0.91911,0.97678,0.84732,0.58716,0.46337,1.12453,0.0002245,0.0002245,0.0002245
49,164.93,0.66705,0.56168,1.13254,0.93618,0.94373,0.985,0.84246,0.56897,0.38573,1.1067,0.000208,0.000208,0.000208
50,168.692,0.56662,0.50172,1.10201,0.95107,0.94508,0.985,0.84849,0.55978,0.3482,1.10581,0.0001915,0.0001915,0.0001915
51,173.635,0.55806,0.57551,1.07552,0.96774,0.9,0.96583,0.83732,0.5588,0.33777,1.12869,0.000175,0.000175,0.000175
52,176.731,0.52517,0.47902,1.07843,0.97207,0.9,0.96583,0.85138,0.55361,0.35114,1.12224,0.0001585,0.0001585,0.0001585
53,179.986,0.5379,0.44205,1.10858,0.97086,0.9,0.96167,0.84717,0.5452,0.3596,1.09189,0.000142,0.000142,0.000142
54,183.677,0.50645,0.41289,1.06756,0.9544,0.9,0.96167,0.84901,0.5142,0.34955,1.05594,0.0001255,0.0001255,0.0001255
55,186.703,0.46924,0.40617,1.043,0.9462,0.9,0.96167,0.85888,0.50627,0.33428,1.04246,0.000109,0.000109,0.000109
56,189.83,0.46131,0.38735,1.01605,0.96855,0.94334,0.97833,0.88399,0.50313,0.31621,1.03423,9.25e-05,9.25e-05,9.25e-05
57,193.227,0.42931,0.38774,1.0389,0.97681,0.95,0.985,0.88576,0.48965,0.31256,1.02354,7.6e-05,7.6e-05,7.6e-05
58,196.927,0.46905,0.38407,1.01831,0.9785,0.95,0.985,0.89556,0.47967,0.30804,1.01776,5.95e-05,5.95e-05,5.95e-05
59,199.997,0.43473,0.35278,1.00808,0.97684,0.95,0.985,0.89621,0.47604,0.30272,1.01595,4.3e-05,4.3e-05,4.3e-05
60,203.125,0.4297,0.35448,1.0026,0.97482,0.95382,0.995,0.88428,0.47161,0.29888,1.01409,2.65e-05,2.65e-05,2.65e-05
